# -608257.273578
0. *NULL* 
-2.91650384399e-17 ,  _,
-1.7889335846e-17 -NONE-  _*T*
-0.94703904999 .  _?
-4.41390996005 .  _!
-0.510818267375 .  _.
0. ADJ  JJ
-4.08206511113 ADJP  _nice
-12.1831366142 ADJP  WRB JJ
-5.73741679486 ADJP  JJ VP
-5.18007115546 ADJP  _very _pretty
-12.1831366142 ADJP  ADVP JJR
-5.51617982182 ADJP  _finished PP
-7.11423241203 ADJP  NOT RB JJ
-12.1831366142 ADJP  ADJP , ADJP CC ADJP
-7.11423241203 ADJP  ADVP JJ SBAR
-5.04665340566 ADJP  _too _small
-5.73900535755 ADJP  _careful S
-3.99111969971 ADJP  _enough
-12.1831366142 ADJP  ADJP PP
-7.11423241203 ADJP  JJ NP PP
-4.72841666488 ADJP  _sure NP VP
-5.04665340566 ADJP  _hot
-12.1831366142 ADJP  JJR SBAR
-12.1831366142 ADJP  JJ ADVP
-1.86932909088 ADJP  _alright
-4.08206511113 ADJP  _too JJ
-12.1831366142 ADJP  -NONE-
-1.34591141623 ADJP  JJ
-7.12054158122 ADJP  _just
-5.51617982182 ADJP  _gone
-5.04665340566 ADJP  JJ _for PRP
-7.11423241203 ADJP  JJ ADVP PP
-7.11423241203 ADJP  DT JJR
-4.72783812856 ADJP  JJ CC JJ
-12.1831366142 ADJP  NP JJ
-6.43056397542 ADJP  _*T*
-5.73741679486 ADJP  DT JJ
-12.1831366142 ADJP  ADJP CC ADJP
-6.02615762866 ADJP  _all _gone
-7.11423241203 ADJP  JJR S
-6.02615762866 ADJP  _a _little JJR
-6.43056397542 ADJP  _too JJ _to VB
-7.12054158122 ADJP  WRB _long
-12.1831366142 ADJP  ADJP S
-5.17916247752 ADJP  JJ RB
-6.42739440066 ADJP  RB JJ S
-5.17916247752 ADJP  JJ SBAR
-7.11423241203 ADJP  NP RB JJ
-5.04665340566 ADJP  _careful PP
-12.1831366142 ADJP  NP JJR
-2.60489455472 ADJP  _careful
-6.43056397542 ADJP  _hard TO VB NP
-12.1831366142 ADJP  RB
-12.1831366142 ADJP  ADJP SBAR
-7.11423241203 ADJP  JJ RB S
-4.92895876779 ADJP  _very JJ PP
-3.72548113555 ADJP  _very JJ
-4.64145351437 ADJP  _ready
-7.11423241203 ADJP  JJ VP ADVP
-6.02615762866 ADJP  _a JJ JJ
-12.1831366142 ADJP  NP ADJP
-7.11423241203 ADJP  RBS JJ S
-5.33407033161 ADJP  _round
-4.08206511113 ADJP  _tired
-6.02615762866 ADJP  _dry
-5.73900535755 ADJP  _silly
-7.11423241203 ADJP  JJ PP ADVP
-7.11423241203 ADJP  RB DT JJ
-12.1831366142 ADJP  DT JJ JJ
-4.92825180417 ADJP  RB JJ PP
-5.33407033161 ADJP  JJ _to VB
-5.04665340566 ADJP  _so _rough
-7.11423241203 ADJP  ADVP RB JJ
-12.1831366142 ADJP  DT JJ JJR
-6.02615762866 ADJP  _too _many
-4.29292840114 ADJP  JJR
-4.92895876779 ADJP  _too _big
-12.1831366142 ADJP  JJ INTJ
-7.11423241203 ADJP  JJ NP
-7.12054158122 ADJP  DT _more
-6.42739440066 ADJP  RB RB JJ
-3.27660769665 ADJP  _right
-12.1831366142 ADJP  RB JJ SBAR
-5.73900535755 ADJP  _big _enough
-5.51617982182 ADJP  _easier
-7.12054158122 ADJP  ADJP , ADJP CC JJ
-5.73900535755 ADJP  _cool
-5.51490836583 ADJP  JJ JJ
-7.11423241203 ADJP  RB RB JJR PP
-5.73900535755 ADJP  _afraid SBAR
-3.83081806602 ADJP  _very _good
-12.1831366142 ADJP  NN S
-12.1831366142 ADJP  JJ PP SBAR
-4.48737862369 ADJP  JJ TO VP
-6.02615762866 ADJP  _too _tight
-12.1831366142 ADJP  RB RB
-5.73900535755 ADJP  _so _tired
-6.43056397542 ADJP  JJ IN NP SBAR
-6.43056397542 ADJP  _too JJ SBAR
-5.73741679486 ADJP  RB JJR
-5.04665340566 ADJP  _too JJ TO VP
-5.33407033161 ADJP  _wrong _with NP
-6.02615762866 ADJP  _very _kind PP
-4.72841666488 ADJP  _blue
-4.72841666488 ADJP  _better
-5.51617982182 ADJP  _so JJ SBAR
-3.57136078034 ADJP  _so JJ
-5.73900535755 ADJP  _ready _to _go IN _bed
-6.43056397542 ADJP  _just _alike
-3.38891793057 ADJP  JJ PP
-7.11423241203 ADJP  JJ S
-6.02404122576 ADJP  RB JJ RB
-7.12054158122 ADJP  _big RB
-4.18178158842 ADJP  RB JJ
-4.92895876779 ADJP  JJ _enough
-6.42739440066 ADJP  ADVP JJ
-6.43056397542 ADJP  _a JJ NN _smaller
-4.82366897599 ADJP  _all JJ
-7.51884350492 ADVP  JJ NN
-6.83159604649 ADVP  _a _lot
-4.4354954619 ADVP  _right RB
-5.91648944738 ADVP  _way _up
-6.4267886168 ADVP  _never
-4.96146420632 ADVP  _back _there
-5.91569986976 ADVP  DT NN
-6.83159604649 ADVP  _all DT NN
-7.51884350492 ADVP  NOT RB RB
-7.51884350492 ADVP  ADVP SBAR
-6.13943554583 ADVP  _not _yet
-13.0601070501 ADVP  ADVP CC ADVP
-5.12846302863 ADVP  _out _here
-3.69790432879 ADVP  _first
-5.44678207054 ADVP  _down _here
-6.4267886168 ADVP  RB _far
-4.53039257811 ADVP  _up
-6.13844886593 ADVP  RBR PP
-2.48273159192 ADVP  -NONE-
-4.03009023224 ADVP  _again
-7.51884350492 ADVP  DT RBR
-3.07186483168 ADVP  _just
-4.48200692376 ADVP  _back
-7.51884350492 ADVP  PDT DT JJ NNS
-2.55641031264 ADVP  _*T*
-3.71970379381 ADVP  _then
-13.0601070501 ADVP  DT JJ NN
-13.0601070501 ADVP  DT JJ
-13.0601070501 ADVP  CD NN
-5.22334226682 ADVP  RB RB RB
-5.22373728954 ADVP  _before
-13.0601070501 ADVP  RB CC RB
-5.22294740008 ADVP  _around
-7.51884350492 ADVP  JJ RB
